pays,code_pays,annee,produit,code_produit,dispo_int,alim_ani,semences,pertes,transfo,nourriture,autres_utilisations
Inde,100,2013,Seigle,2515,0,,,,,,
Inde,100,2013,Avoine,2516,51000,6000,,,,45000,
Inde,100,2013,Millet,2517,10827000,218000,264000,535000,,9810000,
Inde,100,2013,Sorgho,2518,5061000,53000,165000,362000,0,4481000,
Inde,100,2013,"Céréales, Autres",2520,-62000,,,,,0,
Inde,100,2013,Pommes de Terre,2531,45135000,,3238000,11336000,0,30546000,14000
Inde,100,2013,Manioc,2532,7295000,,,362000,0,6933000,
Inde,100,2013,Patates douces,2533,1130000,,,57000,,1074000,
Inde,100,2013,Racines nda,2534,-1000,,,,,,
Inde,100,2013,Ignames,2535,-4000,,,,,,
Inde,100,2013,"Sucre, canne",2536,341200000,6824000,17060000,5118000,300250000,11948000,
Inde,100,2013,"Sucre, betterave",2537,0,,,,,,
Inde,100,2013,Sucre non centrifugé,2541,6235000,312000,,,,3023000,2900000
Inde,100,2013,Sucre Eq Brut,2542,26142000,,,,7000,26135000,
Inde,100,2013,Edulcorants Autres,2543,170000,,,,,149000,21000
Inde,100,2013,Haricots,2546,4512000,226000,300000,181000,,3806000,
Inde,100,2013,Pois,2547,1830000,92000,37000,73000,,1628000,
Inde,100,2013,Légumineuses Autres,2549,15343000,1631000,673000,443000,,12596000,
Inde,100,2013,Noix,2551,1975000,,,21000,,1954000,
Inde,100,2013,Soja,2555,11118000,,696000,538000,9400000,484000,
Inde,100,2013,Arachides Decortiquees,2556,3992000,,255000,199000,3093000,445000,
Inde,100,2013,Graines de tournesol,2557,596000,,9000,,587000,,
Inde,100,2013,Graines Colza/Moutarde,2558,7785000,,50000,235000,6750000,750000,
Inde,100,2013,Graines de coton,2559,12291000,5588000,236000,615000,5853000,,
Inde,100,2013,Coco (Incl Coprah),2560,11835000,,,358000,3491000,7987000,
Inde,100,2013,Sésame,2561,433000,,6000,11000,304000,112000,
Inde,100,2013,Palmistes,2562,1000,,,,,1000,
Inde,100,2013,Olives,2563,1000,,,,,1000,
Inde,100,2013,"Plantes Oleiferes, Autre",2570,1714000,8000,17000,38000,1636000,3000,12000
Inde,100,2013,Huile de Soja,2571,2768000,,,,,2268000,500000
Inde,100,2013,Huile d'Arachide,2572,1247000,,,,,1247000,0
Inde,100,2013,Huile de Tournesol,2573,1253000,,,,,1149000,104000
Inde,100,2013,Huile de Colza&Moutarde,2574,2332000,,,,,2291000,41000
Inde,100,2013,Huile Graines de Coton,2575,1037000,,,,,1037000,0
Inde,100,2013,Huile de Palmistes,2576,309000,,,,,,309000
Inde,100,2013,Huile de Palme,2577,8413000,,,,,1631000,6782000
Inde,100,2013,Huile de Coco,2578,412000,,,,,412000,0
Inde,100,2013,Huile de Sésame,2579,116000,,,,,99000,16000
Inde,100,2013,Huile d'Olive,2580,12000,,,,,12000,
Inde,100,2013,Huile de Son de Riz,2581,747000,,,,,567000,180000
Inde,100,2013,Huile de Germe de Maïs,2582,5000,,,,,5000,0
Inde,100,2013,Huil Plantes Oleif Autr,2586,171000,,,,0,133000,38000
Inde,100,2013,Tomates,2601,18018000,,,1823000,,16195000,
Inde,100,2013,Oignons,2602,17840000,,,966000,,16874000,
Inde,100,2013,"Légumes, Autres",2605,82667000,,,4668000,0,78012000,
Inde,100,2013,"Oranges, Mandarines",2611,6445000,,,646000,,5800000,
Inde,100,2013,Citrons & Limes,2612,2439000,,,252000,55000,2131000,
Inde,100,2013,Pamplemousse,2613,285000,,,29000,,257000,
Inde,100,2013,"Agrumes, Autres",2614,847000,,,86000,9000,753000,
Inde,100,2013,Bananes,2615,27538000,,,5515000,,22023000,
Inde,100,2013,Bananes plantains,2616,0,,,,,,
Inde,100,2013,Pommes,2617,2123000,,,211000,10000,1901000,
Inde,100,2013,Ananas,2618,1571000,,,,,1571000,
Inde,100,2013,Dattes,2619,311000,,,,,311000,
Inde,100,2013,Raisin,2620,2249000,,,249000,0,2000000,
Inde,100,2013,"Fruits, Autres",2625,38460000,,,4447000,199000,33815000,
Inde,100,2013,Café,2630,8000,,,6000,0,3000,
Inde,100,2013,Feve de Cacao,2633,50000,,,,,50000,
Inde,100,2013,Thé,2635,967000,,,12000,,961000,
Inde,100,2013,Poivre,2640,30000,,,3000,,27000,
Inde,100,2013,Piments,2641,1086000,,,69000,,1018000,
Inde,100,2013,Girofles,2642,10000,,,,,10000,
Inde,100,2013,"Épices, Autres",2645,2347000,,,42000,,2305000,
Inde,100,2013,Vin,2655,2000,,,,,2000,
Inde,100,2013,Bière,2656,486000,,,,,486000,
Inde,100,2013,Boissons Fermentés,2657,13000,,,,,13000,
Inde,100,2013,Boissons Alcooliques,2658,2842000,,,,,2024000,818000
Inde,100,2013,"Alcool, non Comestible",2659,2784000,,,,,,2784000
Inde,100,2013,Aliments pour enfants,2680,-7000,,,,,0,
Inde,100,2013,Viande de Bovins,2731,1017000,,,,0,1017000,
Inde,100,2013,Viande d'Ovins/Caprins,2732,725000,,,,,725000,
Inde,100,2013,Viande de Suides,2733,354000,,,,0,354000,
